Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.31164551449704964,0.21276297932120222,0.0,0.0,0.0,-0.08648392617155003,, 0.106595, 0.22846, 0.405945
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.31164551449704964,0.21276297932120222,0.0,0.0,0.0,-0.08648392617155003,, 0.106595, 0.22846, 0.405945
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2985166209052267,0.21587304705300717,0.0,0.0,0.0,-0.059292297704506114,, 0.108142, 0.228169, 0.406146
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2896924001541074,0.21569903110831193,0.0,0.0,0.0,-0.039978489919781694,, 0.108819, 0.228087, 0.406183
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2896924001541074,0.21569903110831193,0.0,0.0,0.0,-0.039978489919781694,, 0.109458, 0.228052, 0.406171
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2896924001541074,0.21569903110831193,0.0,0.0,0.0,-0.039978489919781694,, 0.109458, 0.228052, 0.406171
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815798325335883,0.2134383531970858,0.0,0.0,0.0,-0.02048700609133975,, 0.110177, 0.228047, 0.406118
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2707954782022965,0.20630230246196196,0.0,0.0,0.0,0.0071942013266345865,, 0.111534, 0.22813, 0.405913
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2707954782022965,0.20630230246196196,0.0,0.0,0.0,0.0071942013266345865,, 0.111534, 0.22813, 0.405913
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2648240312088024,0.19879513663503756,0.0,0.0,0.0,0.0241913185150806,, 0.11271, 0.228338, 0.405578
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2648240312088024,0.19879513663503756,0.0,0.0,0.0,0.0241913185150806,, 0.11271, 0.228338, 0.405578
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2595801640506149,0.18896898137448234,0.0,0.0,0.0,0.0397542659135596,, 0.114275, 0.22893, 0.404772
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.25257757073606096,0.17037333684210143,0.0,0.0,0.0,0.06000494245943006,, 0.115228, 0.229468, 0.404075
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.24919657058641126,0.15643901483537778,0.0,0.0,0.0,0.07213238076082931,, 0.115986, 0.230133, 0.403249
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.24919657058641126,0.15643901483537778,0.0,0.0,0.0,0.07213238076082931,, 0.115986, 0.230133, 0.403249
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.24919657058641126,0.15643901483537778,0.0,0.0,0.0,0.07213238076082931,, 0.115986, 0.230133, 0.403249
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2431926480352932,0.13377974849202912,0.0,0.0,0.0,0.09088533868464081,, 0.11671, 0.231363, 0.401782
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2431926480352932,0.13377974849202912,0.0,0.0,0.0,0.09088533868464081,, 0.11671, 0.231363, 0.401782
,-10.275695119691893,-38.798000677278544,-71.5376706053403,10.767249532343609,-19.933196767915298,20.86467397759288,,0.0,0.0,0.0,0.0,0.0,0.0,,0.23524195524058308,0.1091965377707425,0.0,0.0,0.0,0.11293170289330842,, 0.116902, 0.232317, 0.400683
,-10.275695119691893,-38.798000677278544,-71.5376706053403,10.767249532343609,-19.933196767915298,20.86467397759288,,0.0,0.0,0.0,0.0,0.0,0.0,,0.23524195524058308,0.1091965377707425,0.0,0.0,0.0,0.11293170289330842,, 0.116902, 0.232317, 0.400683
,-10.275695119691893,-38.798000677278544,-71.5376706053403,10.767249532343609,-19.933196767915298,20.86467397759288,,0.0,0.0,0.0,0.0,0.0,0.0,,0.23524195524058308,0.1091965377707425,0.0,0.0,0.0,0.11293170289330842,, 0.116902, 0.232317, 0.400683
,-17.58843502832009,-42.29246512043985,-68.02428438103836,12.282560406107233,-19.76252599431378,23.597055256101445,,0.0,0.0,0.0,0.0,0.0,0.0,,0.22704167421813726,0.091890144370723,0.0,0.0,0.0,0.13036092439109326,, 0.11689, 0.233982, 0.398796
,-17.58843502832009,-42.29246512043985,-68.02428438103836,12.282560406107233,-19.76252599431378,23.597055256101445,,0.0,0.0,0.0,0.0,0.0,0.0,,0.22704167421813726,0.091890144370723,0.0,0.0,0.0,0.13036092439109326,, 0.11689, 0.233982, 0.398796
,-28.064309922093237,-45.58171396404026,-65.1247831361634,14.497461208649902,-19.897637326845636,25.677482005719902,,0.0,0.0,0.0,0.0,0.0,0.0,,0.21009505843092346,0.0643000042136439,0.0,0.0,0.0,0.1597224959903047,, 0.116472, 0.234915, 0.397791
,-31.468115212751776,-47.79749539171212,-65.91178353916806,16.92464394272235,-20.33029076910065,26.459612341760604,,0.0,0.0,0.0,0.0,0.0,0.0,,0.18773122438620626,0.03553456995836329,0.0,0.0,0.0,0.18984835483854126,, 0.116472, 0.234915, 0.397791
,-31.468115212751776,-47.79749539171212,-65.91178353916806,16.92464394272235,-20.33029076910065,26.459612341760604,,0.0,0.0,0.0,0.0,0.0,0.0,,0.18773122438620626,0.03553456995836329,0.0,0.0,0.0,0.18984835483854126,, 0.116472, 0.234915, 0.397791
,-29.055194708845665,-52.24402901957287,-68.57779922935656,19.162310142904364,-20.82037499233451,27.252663036123256,,0.0,0.0,0.0,0.0,0.0,0.0,,0.15615099350999595,-0.0037809495649180937,0.0,0.0,0.0,0.22728260335905429,, 0.10513, 0.245684, 0.387101
,-29.055194708845665,-52.24402901957287,-68.57779922935656,19.162310142904364,-20.82037499233451,27.252663036123256,,0.0,0.0,0.0,0.0,0.0,0.0,,0.15615099350999595,-0.0037809495649180937,0.0,0.0,0.0,0.22728260335905429,, 0.10513, 0.245684, 0.387101
,-29.055194708845665,-52.24402901957287,-68.57779922935656,19.162310142904364,-20.82037499233451,27.252663036123256,,0.0,0.0,0.0,0.0,0.0,0.0,,0.15615099350999595,-0.0037809495649180937,0.0,0.0,0.0,0.22728260335905429,, 0.10155, 0.249896, 0.382801
,-25.528262436239523,-57.71152592059438,-73.56574728340996,20.609612147857842,-21.74848743931455,27.576790057509054,,0.0,0.0,0.0,0.0,0.0,0.0,,0.13461085732755884,-0.033223672069338614,0.0,0.0,0.0,0.25307913921929376,, 0.10155, 0.249896, 0.382801
,-25.528262436239523,-57.71152592059438,-73.56574728340996,20.609612147857842,-21.74848743931455,27.576790057509054,,0.0,0.0,0.0,0.0,0.0,0.0,,0.13461085732755884,-0.033223672069338614,0.0,0.0,0.0,0.25307913921929376,, 0.100227, 0.251554, 0.381096
,-21.693562832405043,-59.45511722378405,-77.81070645608474,21.04972203353702,-22.46401170790163,27.381664129568065,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1153366006935148,-0.061796230619261656,0.0,0.0,0.0,0.27643829098076833,, 0.100227, 0.251554, 0.381096
