Table: Data List
Subject_ID,Date_of_birth,Age,Gender,day1_task3_time1,day1_task3_time2,day1_task3_question1,day1_task3_question2,day1_task4_time1,day1_task4_time2,day1_task4_question1,day1_task4_question2,day1_task5_time1,day1_task5_time2,day1_task5_question1,day1_task5_question2,day1_task6_time1,day1_task6_time2,day1_task6_question1,day1_task6_question2,day1_task7_time1,day1_task7_time2,day1_task7_question1,day1_task7_question2,day1_end_question1,day1_end_question2,day1_end_question3,day1_comment,day2_task2_time1,day2_task2_time2,day2_task2_question1,day2_task2_question2,day2_task3_time1,day2_task3_time2,day2_task3_question1,day2_task3_question2,day2_task4_time1,day2_task4_time2,day2_task4_question1,day2_task4_question2,day2_end_question1,day2_end_question2,day2_end_question3,day2_comment,day3_task2_time1,day3_task2_time2,day3_task2_question1,day3_task2_question2,day3_task3_time1,day3_task3_time2,day3_task3_question1,day3_task3_question2,day3_task4_time1,day3_task4_time2,day3_task4_question1,day3_task4_question2,day3_task5_time1,day3_task5_time2,day3_task5_question1,day3_task5_question2,day3_end_question1,day3_end_question2,day3_end_question3,day3_comment,day4_task2_time1,day4_task2_time2,day4_task2_question1,day4_task2_question2,day4_task3_time1,day4_task3_time2,day4_task3_question1,day4_task3_question2,day4_task4_time1,day4_task4_time2,day4_task4_question1,day4_task4_question2,day4_end_question1,day4_end_question2,day4_end_question3,day4_comment,day5_task1_time1,day5_task1_time2,day5_task1_time3,day5_task1_question1,day5_task1_question2,day5_task2_time1,day5_task2_time2,day5_task2_time3,day5_task2_question1,day5_task2_question2,day5_task3_time1,day5_task3_time2,day5_task3_time3,day5_task3_question1,day5_task3_question2,day5_task4_time1,day5_task4_time2,day5_task4_time3,day5_task4_question1,day5_task4_question2,day5_task5_time1,day5_task5_time2,day5_task5_time3,day5_task5_question1,day5_task5_question2,day5_task6_time1,day5_task6_time2,day5_task6_time3,day5_task6_question1,day5_task6_question2,day5_task7_time1,day5_task7_time2,day5_task7_time3,day5_task7_question1,day5_task7_question2,day5_task8_time1,day5_task8_time2,day5_task8_time3,day5_task8_question1,day5_task8_question2,day5_task9_time1,day5_task9_time2,day5_task9_time3,day5_task9_question1,day5_task9_question2,day5_task10_time1,day5_task10_time2,day5_task10_time3,day5_task10_question1,day5_task10_question2,day5_end_question1,day5_end_question2,day5_end_question3,day5_comment
Heika_001                                                                                 ,18.08.1940,74,0,"0:00:38,90","0:00:29,72","2,00","3,00","0:00:42,94","0:00:37,66","2,00","2,00","0:01:29,78","0:01:32,90","2,00","2,00","0:00:58,72","0:00:40,41","2,00","2,00","0:00:36,90","0:00:29,22","2,00","2,00","2,00","2,00","2,00",,"0:02:08,21","0:01:27,93","2,00","3,00","0:01:28,17","0:01:06,29","2,00","2,00","0:01:33,00","0:01:12,64","2,00","2,00","2,00","2,00","2,00",Zu Beginn größere Probleme mit Türdurchfahrt später flüssiger (Zeit daher lang)                                                                                                                                                                                                                                                                                                                                                                                                                                ,"0:02:06,76","0:01:23,36","2,00","2,00","0:01:35,10","0:01:36,12","2,00","2,00","0:01:54,50","0:01:34,37","2,00","2,00","0:01:42,24","0:01:31,87","3,00","3,00","2,00","2,00","2,00",Große Runde mit allen Türen: hatte amfangs Schwierigkeiten mit den Türen                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"0:00:56,00","0:00:36,90","3,00","2,00","0:01:47,75","0:01:25,92","2,00","2,00","0:01:50,81","0:01:50,32","2,00","2,00","2,00","2,00","2,00",,"0:00:24,84","0:00:29,18","0:00:27,26","1,00","1,00","0:01:55,91","0:01:31,17",.  ,"2,00","2,00","0:00:58,67","0:01:05,62",.  ,.  ,.  ,"0:01:01,68","0:01:05,89",.  ,"1,00","1,00","0:01:09,31","0:01:28,24","0:01:28,26","1,00","1,00","0:01:40,34","0:01:29,86",.  ,"1,00","1,00","0:00:41,61","0:00:55,10",.  ,"2,00","2,00","0:01:24,28","0:01:18,59",.  ,"1,00","1,00","0:01:37,68","0:01:39,87",.  ,"2,00","2,00","0:01:19,48","0:01:16,42",.  ,"1,00","1,00","1,00","1,00","1,00",
Heika_002                                                                                 ,13.10.1944,70,0,"0:00:41,32","0:00:26,58","1,00","3,00","0:00:44,28","0:00:31,98","1,00","3,00","0:02:22,00","0:01:35,65","1,00","3,00","0:00:51,93","0:00:30,10","1,00","3,00","0:00:37,64","0:00:26,64","1,00","3,00","1,00","2,00","2,00",Gerade nach rechts (Kraft bemerkt)nach links (Kraft bemerkt)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"0:01:35,10","0:01:21,31","4,00","5,00","0:01:13,37","0:01:19,50","1,00","3,00","0:01:46,17","0:01:52,87","1,00","3,00","3,00","2,00","2,00",Noch nicht ins Allgemeinwissen integriert (muss noch darüber nachdenken)                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"0:02:06,67","0:01:25,34","1,00","3,00","0:01:30,46",.  ,"1,00","2,00","0:02:09,15","0:01:52,37","2,00","4,00","0:02:01,54",.  ,"2,00","4,00","2,00","3,00","2,00",,"0:01:16,40","0:00:26,17","3,00","4,00","0:01:16,23","0:01:03,86","1,00","2,00","0:01:57,24","0:01:29,70","3,00","3,00","3,00","3,00","3,00",,"0:00:25,92","0:00:45,40",.  ,"1,00","1,00","0:00:59,21","0:01:22,80",.  ,"1,00","1,00","0:01:00,70","0:00:47,15",.  ,"1,00","1,00","0:01:07,20","0:01:03,67",.  ,"1,00","1,00","0:01:16,14","0:01:27,78",.  ,"1,00","1,00","0:01:52,40",.  ,.  ,"1,00","2,00","0:00:28,80","0:00:21,26",.  ,"1,00","2,00","0:01:13,68","0:01:04,37",.  ,"1,00","2,00","0:02:12,96","0:01:11,93",.  ,"2,00","4,00","0:00:56,24",.  ,.  ,"1,00","1,00","1,00","2,00","2,00",
Heika_003                                                                                 ,07.02.1936,78,0,"0:00:36,48","0:00:21,72","1,00","3,00","0:00:41,36","0:00:31,32","2,00","3,00","0:02:07,26","0:01:31,70","2,00","3,00","0:00:34,86","0:00:29,90","3,00","3,00","0:00:21,48","0:00:19,58","2,00","3,00","2,00","1,00","3,00",,"0:02:13,44","0:02:39,90","3,00","4,00","0:01:21,29","0:01:16,34","2,00","3,00","0:02:20,12","0:02:18,50","2,00","3,00","3,00","2,00","2,00",,"0:02:57,39","0:01:59,92","2,00","3,00","0:01:36,43","0:01:52,36","2,00","3,00","0:02:00,84","0:02:21,96","2,00","3,00","0:00:49,28",.  ,"4,00","4,00","3,00","2,00","2,00",Am Anfang sehr zögerlich gefahren/Türen bereiteten anfänglich noch Probleme wurde aber mit der Zeit besser/hat mit der 360°-Drehung große Probleme (bei vertauschten Seiten)/360°-Drehung wurde bei Übung 5. ausgelassen (bei Zeitmessung)                                                                                                                                                                                                                                                                   ,"0:00:51,10","0:00:47,86","2,00","2,00","0:01:40,90","0:01:31,31","2,00","2,00","0:02:51,61","0:03:44,43","3,00","3,00","3,00","2,00","2,00",Übung 4: Hatte Schwierigkeiten mit dem rückwärts laufen beim Dreieck (weiße Linie)                                                                                                                                                                                                                                                                                                                                                                                                                              ,"0:00:37,58","0:00:29,31","0:00:41,10","1,00","2,00","0:01:44,15","0:01:18,31",.  ,"1,00","2,00","0:01:59,68","0:01:44,53",.  ,"1,00","2,00","0:02:04,39","0:01:50,86","0:01:22,72","1,00","2,00","0:01:40,84","0:01:58,94",.  ,"1,00","2,00","0:01:51,16","0:01:59,65",.  ,"2,00","2,00","0:00:33,65","0:00:20,76",.  ,"1,00","2,00","0:01:01,21","0:00:57,43",.  ,"1,00","2,00","0:01:41,56","0:02:25,50",.  ,"3,00","3,00","0:01:23,67","0:01:27,00",.  ,"2,00","2,00","1,00","2,00","2,00",
Heika_004                                                                                 ,20.03.1942,72,1,"0:00:34,29","0:00:22,61","2,00","2,00","0:00:49,90","0:00:38,40","2,00","2,00","0:01:37,50","0:01:16,95","3,00","3,00","0:00:44,12","0:00:36,37","3,00","3,00","0:00:23,48","0:00:22,18","2,00","2,00","3,00","3,00","2,00","""anstrengend"" ""Kraftsport""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","0:01:17,46","0:01:20,36","2,00","3,00","0:01:16,50","0:01:21,84","2,00","3,00","0:01:32,90","0:01:35,39","3,00","3,00","3,00","3,00","3,00",,"0:01:30,95","0:01:14,54","3,00","3,00","0:01:24,00",.  ,"2,00","2,00","0:01:55,44","0:02:10,54","3,00","2,00",.  ,.  ,"5,00","6,00","3,00","3,00","4,00","Kräfteparcours (Gegenkraft im Raum runtergesetzt, da sie es nicht geschafft hat)                                                                                                                                                                                                                                                                                                                                                                                                                                   ","0:01:15,68",.  ,"5,00","5,00","0:03:23,81",.  ,"5,00","4,00","0:05:33,86",.  ,"5,00","4,00","5,00","4,00","4,00",,"0:00:30,20","0:01:36,10",.  ,"2,00","2,00","0:01:13,87","0:01:05,54",.  ,"2,00","2,00","0:01:16,12","0:01:04,43",.  ,"2,00","2,00","0:01:26,10","0:01:16,61",.  ,"3,00","3,00","0:01:15,40","0:01:17,95",.  ,"2,00","2,00","0:02:15,20",.  ,.  ,"3,00","3,00","0:01:14,98",.  ,.  ,"3,00","3,00","0:02:44,82",.  ,.  ,"3,00","3,00","0:07:34,55",.  ,.  ,"5,00","5,00","0:01:34,32",.  ,.  ,"3,00","2,00","3,00","3,00","3,00",Seiten vertauscht sehr schwer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Heika_005                                                                                 ,07.12.1940,73,0,"0:00:27,26","0:00:28,37","1,00","2,00","0:39:42,00","0:00:37,21","2,00","2,00","0:01:19,15","0:01:09,50","2,00","3,00","0:00:40,89","0:00:34,20","2,00","2,00","0:00:26,70","0:00:32,48","2,00","3,00","2,00","1,00","1,00",Beim 1. mal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"0:00:44,56","0:00:44,50","1,00","2,00","0:01:04,72","0:00:52,26","2,00","3,00","0:00:58,50","0:00:55,26","3,00","3,00","1,00","1,00","2,00",,"0:00:57,53","0:01:25,78","2,00","3,00","0:00:59,36","0:01:00,92","1,00","1,00","0:01:23,84","0:01:15,98","2,00","4,00","0:00:36,95","0:00:56,60","4,00","5,00","3,00","3,00","3,00",gr. Runde 2. Zeitnahme in Tür hängen geblieben/2. Zeitnahme Seiten umgekehrt kurz hängen geblieben/die Zeit wurde zwischen drin gestoppt                                                                                                                                                                                                                                                                                                                                                                         ,"0:00:18,86","0:00:23,67","2,00","2,00","0:01:19,72","0:01:04,42","3,00","3,00","0:01:38,32","0:01:19,70","3,00","4,00","3,00","3,00","2,00",,"0:00:22,80","0:00:29,80","0:00:37,70","2,00","2,00","0:00:50,90","0:00:45,92","0:00:45,21","1,00","1,00","0:00:50,90","0:00:58,76",.  ,"1,00","1,00","0:00:51,75","0:00:58,76",.  ,"1,00","1,00","0:00:58,58","0:01:03,48",.  ,"1,00","1,00","0:01:14,45","0:01:05,58",.  ,"2,00","3,00","0:00:25,28","0:00:23,62",.  ,"3,00","3,00","0:01:26,51","0:01:31,46",.  ,"3,00","3,00","0:01:48,70","0:01:35,65",.  ,"4,00","4,00","0:00:47,29",.  ,.  ,"1,00","1,00","2,00","1,00","1,00",
Heika_006                                                                                 ,01.09.1940,74,1,"0:00:21,56","0:00:19,40","2,00","2,00","0:00:36,15","0:00:30,67","3,00","3,00","0:01:40,29","0:01:50,50","3,00","3,00","0:00:30,24","0:00:39,75","3,00","3,00","0:00:23,29","0:00:21,72","2,00","2,00","3,00","2,00","2,00",,"0:01:19,75","0:01:21,23","3,00","3,00","0:01:02,75","0:01:09,78","1,00","2,00","0:01:28,00","0:01:18,90","3,00","3,00","2,00","2,00","2,00",,"0:01:23,72","0:01:11,42","2,00","2,00","0:01:36,89","0:01:27,10","2,00","2,00","0:02:18,81","0:02:47,91","4,00","4,00","0:01:17,80","0:00:39,58","3,00","2,00","3,00","2,00","2,00",,"0:00:48,41","0:00:37,03","3,00","3,00","0:02:23,40","0:01:47,56","4,00","3,00","0:02:45,06","0:03:46,04","3,00","3,00","3,00","2,00","2,00",größere Probleme bei Dreieck-Diagonale mit vertauschten Seiten                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"0:00:31,07","0:00:36,87",.  ,"2,00","2,00","0:01:19,00","0:01:04,20",.  ,"2,00","3,00","0:01:06,17","0:00:56,80",.  ,"2,00","2,00","0:01:06,80","0:01:08,92",.  ,"2,00","3,00","0:01:29,01","0:01:32,28",.  ,"2,00","3,00","0:02:23,87","0:02:10,23",.  ,"2,00","4,00","0:00:40,40","0:00:42,84",.  ,"2,00","2,00","0:02:01,65","0:01:19,08",.  ,"2,00","3,00","0:02:09,28","0:02:40,60",.  ,"2,00","3,00","0:01:25,78","0:01:13,78",.  ,"2,00","3,00","2,00","1,00","1,00",
Heika_007                                                                                 ,29.04.1940,74,0,"0:00:33,67","0:00:22,95","2,00","2,00","0:00:35,00","0:00:30,37","2,00","3,00","0:01:04,58","0:00:57,89","3,00","3,00","0:00:37,09","0:00:33,65","2,00","3,00","0:00:24,92","0:00:25,02","2,00","3,00","3,00","2,00","2,00",,"0:01:28,64","0:01:04,50","3,00","3,00","0:01:42,14","0:01:13,28","3,00","3,00","0:01:04,56","0:01:01,01","3,00","4,00","3,00","2,00","3,00",,"0:01:31,86","0:01:11,56","3,00","4,00","0:01:27,01","0:01:15,84","4,00","4,00","0:01:43,36","0:01:32,48","3,00","3,00","0:01:16,72","0:01:27,98","4,00","3,00","3,00","2,00","2,00",,"0:00:40,24","0:00:28,37","3,00","3,00","0:01:44,48","0:01:26,45","3,00","2,00","0:02:36,20","0:01:46,25","4,00","4,00","3,00","2,00","3,00",,"0:00:36,81","0:00:46,65",.  ,"2,00","3,00","0:01:09,81","0:01:03,80",.  ,"2,00","2,00","0:01:23,14","0:01:06,64",.  ,"2,00","2,00","0:00:53,54","0:00:50,64",.  ,"2,00","2,00","0:01:16,17","0:01:06,20",.  ,"2,00","3,00","0:01:18,09","0:01:12,91",.  ,"2,00","2,00","0:00:37,58","0:00:23,86",.  ,"3,00","4,00","0:00:57,50","0:01:16,76",.  ,"2,00","1,00","0:02:44,18","0:01:37,02",.  ,"3,00","4,00","0:00:50,53","0:00:47,01",.  ,"2,00","2,00","2,00","2,00","2,00",
Heika_008                                                                                 ,10.09.1942,71,0,"0:00:28,82","0:00:23,39","2,00","2,00","0:00:31,32","0:00:36,70","3,00","3,00","0:01:24,90","0:01:14,12","3,00","3,00","0:00:36,70","0:00:33,78","3,00","4,00","0:00:26,42","0:00:27,70","3,00","3,00","2,00","2,00","3,00","""ging schon ganz schön gut""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","0:01:05,00","0:01:03,46","3,00","3,00","0:01:13,60","0:01:02,29","3,00","3,00","0:01:13,42","0:00:53,28","3,00","3,00","3,00","3,00","3,00",,"0:01:12,70","0:01:09,93","3,00","3,00","0:01:28,96","0:01:50,20","3,00","3,00","0:01:19,26","0:01:25,20","2,00","2,00","0:01:04,34","0:00:38,90","3,00","4,00","2,00","2,00","2,00",,"0:01:08,82","0:00:23,75","4,00","4,00","0:01:47,64","0:01:04,15","4,00","4,00","0:01:20,96","0:01:23,76","3,00","3,00","3,00","3,00","3,00",,"0:00:24,80","0:00:29,78","0:00:32,45","2,00","2,00","0:00:51,93","0:00:42,87","0:00:54,21","2,00","2,00","0:01:01,70","0:00:51,95","0:00:55,93","2,00","2,00","0:00:49,64","0:00:47,72",.  ,"2,00","2,00","0:01:03,68","0:01:13,95",.  ,"2,00","2,00","0:01:31,12","0:01:40,60",.  ,"3,00","3,00","0:00:37,64","0:00:19,61",.  ,"3,00","3,00","0:01:31,95","0:01:04,31",.  ,"3,00","3,00","0:01:54,70","0:01:10,68",.  ,"4,00","4,00","0:00:57,18","0:01:00,20","0:00:57,40","2,00","2,00","2,00","2,00","3,00",
Heika_010                                                                                 ,11.01.1948,66,0,"0:00:33,84","0:00:24,78","3,00","3,00","0:00:49,62","0:00:46,34","4,00","4,00","0:01:29,73","0:01:34,31","2,00","3,00","0:00:48,46","0:00:43,19","3,00","2,00","0:00:32,68","0:00:30,17","3,00","2,00","3,00","3,00","2,00",,"0:01:20,15","0:01:04,45","3,00","3,00","0:01:55,89","0:01:24,89","2,00","3,00","0:01:52,92","0:01:29,20","3,00","4,00","2,00","2,00","2,00",,"0:01:19,53","0:01:17,26","2,00","2,00","0:01:23,24","0:01:35,32","2,00","2,00","0:01:33,43","0:01:40,89","3,00","3,00","0:00:52,18","0:00:49,10","4,00","3,00","2,00","2,00","2,00",,"0:01:05,93","0:00:41,42","2,00","3,00","0:01:17,61","0:01:02,89","3,00","2,00","0:02:21,40","0:02:29,10","5,00","5,00","2,00","3,00","2,00",Übung 3: Roboter musste teilweise während der Übung ans Netzkabel angschlossen werden                                                                                                                                                                                                                                                                                                                                                                                                                            ,"0:00:34,80","0:00:44,29","0:00:27,58","2,00","2,00","0:01:08,12","0:01:01,70",.  ,"2,00","3,00","0:01:31,70","0:01:16,45",.  ,"2,00","2,00","0:01:18,54","0:01:02,00",.  ,"2,00","2,00","0:01:27,95","0:01:26,10","0:01:00,87","2,00","3,00","0:01:46,80","0:01:24,00",.  ,"3,00","3,00","0:00:37,78","0:00:46,40",.  ,"3,00","2,00","0:01:28,73","0:01:43,29",.  ,"3,00","3,00","0:02:13,96","0:02:53,56",.  ,"3,00","4,00","0:01:07,46","0:01:11,58",.  ,"2,00","2,00","2,00","2,00","2,00",
Heika_011                                                                                 ,02.08.1959,55,0,"0:00:23,64","0:00:22,50","3,00","3,00","0:00:30,06","0:00:28,00","2,00","2,00","0:01:00,90","0:01:03,95","3,00","3,00","0:00:30,46","0:00:29,12","3,00","3,00","0:00:22,28","0:00:23,10","2,00","2,00","2,00","2,00","2,00",,"0:01:08,54","0:00:57,34","3,00","3,00","0:00:55,89","0:00:49,80","3,00","3,00","0:01:06,37","0:00:48,92","3,00","3,00","2,00","2,00","2,00",,"0:01:16,50","0:01:05,84","2,00","3,00","0:01:15,45","0:01:02,86","2,00","2,00","0:01:19,98","0:01:25,19","2,00","3,00","0:01:04,53","0:00:52,34","4,00","3,00","3,00","3,00","2,00",,"0:00:29,54","0:00:21,39","2,00","2,00","0:01:03,95","0:00:51,94","2,00","2,00","0:01:17,18","0:01:07,08","2,00","3,00","2,00","2,00","2,00",,"0:00:21,86","0:00:24,03","0:00:23,98","1,00","2,00","0:00:47,37","0:00:42,82","0:00:43,30","2,00","2,00","0:00:48,07","0:00:48,62","0:00:45,90","1,00","2,00","0:00:48,46","0:00:42,20","0:00:43,58","1,00","2,00","0:01:22,31","0:00:52,01","0:01:03,22","1,00","2,00","0:01:21,45","0:01:23,64","0:01:20,38","1,00","2,00","0:00:21,04","0:00:18,58","0:00:20,54","1,00","2,00","0:00:53,68","0:00:57,66","0:00:52,30","1,00","1,00","0:01:07,32","0:00:54,26","0:01:04,55","1,00","2,00","0:00:44,21","0:00:44,20",.  ,"1,00","1,00","1,00","1,00","1,00",
